date,datatype,station,attributes,value
,,,,
2018-01-01T00:00:00,ADPT,GHCND:USW00013781,",,W,",-178.0
2018-01-01T00:00:00,ASLP,GHCND:USW00013781,",,W,",10312.0
2018-01-01T00:00:00,ASTP,GHCND:USW00013781,",,W,",10274.0
2018-01-01T00:00:00,AWBT,GHCND:USW00013781,",,W,",-122.0
2018-01-01T00:00:00,AWND,GHCND:USW00013781,",,W,",42.0
2018-01-01T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-01T00:00:00,RHAV,GHCND:USW00013781,",,W,",54.0
2018-01-01T00:00:00,RHMN,GHCND:USW00013781,",,W,",34.0
2018-01-01T00:00:00,RHMX,GHCND:USW00013781,",,W,",66.0
2018-01-01T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-01T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-01T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",-60.0
2018-01-01T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-149.0
2018-01-01T00:00:00,WDF2,GHCND:USW00013781,",,W,",300.0
2018-01-01T00:00:00,WDF5,GHCND:USW00013781,",,W,",290.0
2018-01-01T00:00:00,WSF2,GHCND:USW00013781,",,W,",94.0
2018-01-01T00:00:00,WSF5,GHCND:USW00013781,",,W,",121.0
2018-01-02T00:00:00,ADPT,GHCND:USW00013781,",,W,",-167.0
2018-01-02T00:00:00,ASLP,GHCND:USW00013781,",,W,",10315.0
2018-01-02T00:00:00,ASTP,GHCND:USW00013781,",,W,",10284.0
2018-01-02T00:00:00,AWBT,GHCND:USW00013781,",,W,",-100.0
2018-01-02T00:00:00,AWND,GHCND:USW00013781,",,W,",41.0
2018-01-02T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-02T00:00:00,RHAV,GHCND:USW00013781,",,W,",52.0
2018-01-02T00:00:00,RHMN,GHCND:USW00013781,",,W,",40.0
2018-01-02T00:00:00,RHMX,GHCND:USW00013781,",,W,",61.0
2018-01-02T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-02T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
